chi,dx,min_dt
6.0,0.04,4.02e-11
6.0,0.05,9.56e-11
6.0,0.08,6.43e-10
6.0,0.1,1.92e-9
6.0,0.2,2.85e-8
7.0,0.04,3.13e-11
7.0,0.05,8.54e-11
7.0,0.08,5.96e-10
7.0,0.1,1.19e-9
7.0,0.2,2.43e-8
8.0,0.04,3.07e-11
8.0,0.05,7.59e-11
8.0,0.08,5.18e-10
8.0,0.1,1.19e-9
8.0,0.2,1.9e-8
9.0,0.04,2.52e-11
9.0,0.05,6.94e-11
9.0,0.08,4.34e-10
9.0,0.1,9.5e-10
9.0,0.2,1.66e-8
10.0,0.04,2.25e-11
10.0,0.05,5.23e-11
10.0,0.08,3.47e-10
10.0,0.1,9.38e-10
10.0,0.2,1.34e-8
11.0,0.04,2.22e-11
11.0,0.05,5.4e-11
11.0,0.08,3.64e-10
11.0,0.1,9.1e-10
11.0,0.2,1.48e-8
12.0,0.04,2.24e-11
12.0,0.05,4.76e-11
12.0,0.08,2.92e-10
12.0,0.1,7.32e-10
12.0,0.2,1.44e-8
13.0,0.04,1.7e-11
13.0,0.05,4.48e-11
13.0,0.08,3.08e-10
13.0,0.1,7.14e-10
13.0,0.2,1.32e-8
14.0,0.04,1.54e-11
14.0,0.05,3.98e-11
14.0,0.08,2.73e-10
14.0,0.1,6.67e-10
14.0,0.2,1.03e-8
15.0,0.04,1.57e-11
15.0,0.05,3.73e-11
15.0,0.08,2.28e-10
15.0,0.1,5.16e-10
15.0,0.2,9.28e-9
6.0,0.16,1.14e-8
7.0,0.16,8.04e-9
8.0,0.16,8.02e-9
9.0,0.16,6.43e-9
10.0,0.16,6.83e-9
11.0,0.16,5.06e-9
12.0,0.16,5.3e-9
13.0,0.16,4.49e-9
14.0,0.16,4.33e-9
15.0,0.16,3.82e-9
16.0,0.04,1.49e-11
16.0,0.05,4.0e-11
16.0,0.08,2.36e-10
16.0,0.1,7.03e-10
16.0,0.16,4.41e-9
16.0,0.2,7.3e-9
17.0,0.04,1.32e-11
17.0,0.05,3.42e-11
17.0,0.08,2.31e-10
17.0,0.1,5.7e-10
17.0,0.16,3.68e-9
17.0,0.2,7.61e-9
18.0,0.04,1.38e-11
18.0,0.05,3.21e-11
18.0,0.08,1.8e-10
18.0,0.1,5.41e-10
18.0,0.16,3.76e-9
18.0,0.2,7.66e-9
19.0,0.04,1.22e-11
19.0,0.05,2.8e-11
19.0,0.08,2.02e-10
19.0,0.1,5.12e-10
19.0,0.16,2.79e-9
19.0,0.2,7.42e-9
20.0,0.04,1.05e-11
20.0,0.05,2.9e-11
20.0,0.08,1.73e-10
20.0,0.1,4.04e-10
20.0,0.16,3.12e-9
20.0,0.2,8.35e-9
21.0,0.04,1.0e-11
21.0,0.05,2.57e-11
21.0,0.08,1.55e-10
21.0,0.1,4.57e-10
21.0,0.16,2.58e-9
21.0,0.2,8.59e-9
22.0,0.04,1.01e-11
22.0,0.05,2.87e-11
22.0,0.08,1.91e-10
22.0,0.1,4.76e-10
22.0,0.16,2.86e-9
22.0,0.2,6.56e-9
23.0,0.04,1.17e-11
23.0,0.05,2.18e-11
23.0,0.08,1.5e-10
23.0,0.1,3.52e-10
23.0,0.16,2.92e-9
23.0,0.2,6.35e-9
24.0,0.04,9.75e-12
24.0,0.05,2.37e-11
24.0,0.08,1.46e-10
24.0,0.1,4.21e-10
24.0,0.16,2.57e-9
24.0,0.2,6.86e-9
25.0,0.05,2.68e-11
25.0,0.08,1.71e-10
25.0,0.1,3.74e-10
25.0,0.16,2.21e-9
25.0,0.2,6.94e-9
25.0,0.04,9.64e-12
6.0,0.025,5.57e-12
7.0,0.025,5.36e-12
8.0,0.025,4.21e-12
9.0,0.025,4.07e-12
10.0,0.025,3.6e-12
11.0,0.025,3.1e-12
12.0,0.025,3.02e-12
13.0,0.025,2.74e-12
14.0,0.025,2.4e-12
15.0,0.025,2.31e-12
16.0,0.025,2.38e-12
17.0,0.025,2.15e-12
18.0,0.025,1.98e-12
19.0,0.025,1.75e-12
20.0,0.025,1.73e-12
21.0,0.025,1.6e-12
22.0,0.025,1.62e-12
23.0,0.025,1.56e-12
24.0,0.025,1.5e-12
25.0,0.025,1.34e-12
26.0,0.025,1.42e-12
26.0,0.05,2.37e-11
26.0,0.08,1.36e-10
26.0,0.16,3.11e-9
28.0,0.1,3.64e-10
29.0,0.08,1.23e-10
29.0,0.2,5.18e-9
30.0,0.08,1.36e-10
6.0,0.02,2.3792368506483933e-12
7.0,0.02,2.1793101083822222e-12
8.0,0.02,1.8199803370441967e-12
9.0,0.02,1.438171891488182e-12
10.0,0.02,1.4413092961486152e-12
11.0,0.02,1.256751045003975e-12
12.0,0.02,1.1670687000640163e-12
13.0,0.02,1.1369208565416614e-12
14.0,0.02,1.0816037851819755e-12
15.0,0.02,1.0302949870398603e-12
16.0,0.02,8.731569180415754e-13
17.0,0.02,8.634743598293482e-13
18.0,0.02,8.047778512955125e-13
19.0,0.02,7.363116367151243e-13
20.0,0.02,3.552713678800501e-15
21.0,0.02,6.681659120324783e-13
22.0,0.02,6.988808869838477e-13
23.0,0.02,6.181113037456757e-13
24.0,0.02,3.552713678800501e-15
25.0,0.02,8.881784197001252e-16
26.0,0.02,5.766684275787425e-13
26.0,0.04,1.4210854715202004e-14
26.0,0.1,3.614723419868426e-10
26.0,0.2,1.4210854715202004e-14
27.0,0.02,3.552713678800501e-15
27.0,0.025,3.552713678800501e-15
27.0,0.04,1.7763568394002505e-15
27.0,0.05,8.881784197001252e-16
27.0,0.08,3.552713678800501e-15
27.0,0.1,3.991097798580082e-10
27.0,0.16,8.881784197001252e-16
27.0,0.2,7.345398256109546e-9
28.0,0.02,8.881784197001252e-16
28.0,0.025,1.7763568394002505e-15
28.0,0.04,1.7763568394002505e-15
28.0,0.05,3.552713678800501e-15
28.0,0.08,1.4484180965503514e-10
28.0,0.16,3.552713678800501e-15
28.0,0.2,4.839672973424057e-9
29.0,0.02,8.881784197001252e-16
29.0,0.025,8.881784197001252e-16
29.0,0.04,1.7763568394002505e-15
29.0,0.05,1.7763568394002505e-15
29.0,0.1,8.881784197001252e-16
29.0,0.16,8.881784197001252e-16
30.0,0.02,8.881784197001252e-16
30.0,0.025,2.220446049250313e-16
30.0,0.04,1.7763568394002505e-15
30.0,0.05,1.7763568394002505e-15
30.0,0.1,8.881784197001252e-16
30.0,0.16,8.881784197001252e-16
30.0,0.2,5.5765048226291356e-9
